"id","program","age","cog"
"141",38,1,"1.5",106.338224478868
"244",38,1,"2",102.164966235137
"39",39,1,"1",88.8372489151137
"142",39,1,"1.5",95.3265818973472
"245",39,1,"2",105.528823252865
"40",40,1,"1",97.1188177320008
"143",40,1,"1.5",85.4527383685433
"246",40,1,"2",78.428283515756
"41",41,1,"1",97.3467454444142
"144",41,1,"1.5",108.549134539971
"247",41,1,"2",78.1553754899742
"42",42,1,"1",108.462273318939
"145",42,1,"1.5",115.061984707356
"248",42,1,"2",105.335976683841
"43",43,1,"1",106.51195605425
"146",43,1,"1.5",103.230884384312
"249",43,1,"2",72.2936502086723
"44",44,1,"1",93.5579826323608
"147",44,1,"1.5",96.5714650807635
"250",44,1,"2",95.8598941930438
"45",45,1,"1",96.6601642598663
"148",45,1,"1.5",94.0951279925381
"251",45,1,"2",98.2778009976599
"46",46,1,"1",112.222056570672
"149",46,1,"1.5",113.36682729637
"252",46,1,"2",90.2179550332017
"47",47,1,"1",115.753796545793
"150",47,1,"1.5",105.048663599063
"253",47,1,"2",94.0840789391265
"48",48,1,"1",92.0267840924846
"151",48,1,"1.5",87.4104852673865
"254",48,1,"2",94.5368093052356
"49",49,1,"1",90.0599670208975
"152",49,1,"1.5",78.9474472509954
"255",49,1,"2",88.0179996466423
"50",50,1,"1",118.840660602866
"153",50,1,"1.5",97.7124857879426
"256",50,1,"2",93.6121168548803
"51",51,1,"1",100.831363891107
"154",51,1,"1.5",86.3894350787779
"257",51,1,"2",98.096433169654
"52",52,1,"1",101.981624292617
"155",52,1,"1.5",108.362191379453
"258",52,1,"2",84.6435935934165
"53",53,1,"1",113.600186737339
"156",53,1,"1.5",107.96398069441
"259",53,1,"2",106.564052728453
"54",54,1,"1",87.2487227090146
"157",54,1,"1.5",78.634021411844
"260",54,1,"2",105.242256074889
"55",55,1,"1",89.9128469258816
"158",55,1,"1.5",105.287231495359
"261",55,1,"2",71.4776146900085
"56",56,1,"1",97.1716562640632
"159",56,1,"1.5",96.1596204900776
"262",56,1,"2",93.8307552492846
"57",57,1,"1",98.5418217676508
"160",57,1,"1.5",73.6947041310426
"263",57,1,"2",94.7277645311424
"58",58,1,"1",116.514115379818
"161",58,1,"1.5",105.635342896857
"264",58,1,"2",82.8245243309868
"59",59,0,"1",124.945273726166
"162",59,0,"1.5",111.911362864653
"265",59,0,"2",91.2435238478675
"60",60,0,"1",71.8497358805852
"163",60,0,"1.5",81.085634754269
"266",60,0,"2",83.0272389247725
"61",61,0,"1",88.4545260654237
"164",61,0,"1.5",79.302419656029
"267",61,0,"2",77.9101167617829
"62",62,0,"1",101.81687273066
"165",62,0,"1.5",77.2686515005466
"268",62,0,"2",82.0527273362737
"63",63,0,"1",98.8343359314378
"166",63,0,"1.5",94.9038840720368
"269",63,0,"2",90.3913131097778
"64",64,0,"1",106.626303704779
"167",64,0,"1.5",111.481398782959
"270",64,0,"2",83.5608289459599
"65",65,0,"1",90.3167067951423
"168",65,0,"1.5",91.3065023528244
"271",65,0,"2",81.1567777719372
"66",66,0,"1",95.5503954066067
"169",66,0,"1.5",95.3627899252412
"272",66,0,"2",94.9970185879819
"67",67,0,"1",110.57535447113
"170",67,0,"1.5",97.7794670292405
"273",67,0,"2",86.4816329177033
"68",68,0,"1",95.7396860631682
"171",68,0,"1.5",89.2740672543939
"274",68,0,"2",92.2270557829597
"69",69,0,"1",108.466763084711
"172",69,0,"1.5",108.501774607865
"275",69,0,"2",81.9645641728892
"70",70,0,"1",109.577384864186
"173",70,0,"1.5",89.1016721821802
"276",70,0,"2",76.9281754028147
"71",71,0,"1",114.422169681435
"174",71,0,"1.5",105.913861239412
"277",71,0,"2",93.9056328969531
"72",72,0,"1",96.3701502083578
"175",72,0,"1.5",99.4016927888508
"278",72,0,"2",90.0763749581068
"73",73,0,"1",104.565998535039
"176",73,0,"1.5",109.482575156835
"279",73,0,"2",111.650586445819
"74",74,0,"1",99.2762401352813
"177",74,0,"1.5",81.4251141885834
"280",74,0,"2",96.0364219691331
"75",75,0,"1",121.967982587722
"178",75,0,"1.5",97.037216974506
"281",75,0,"2",98.8073123443464
"76",76,0,"1",110.882999946992
"179",76,0,"1.5",104.574589142513
"282",76,0,"2",101.489216353523
"77",77,0,"1",95.4998103824674
"180",77,0,"1.5",92.5860811623991
"283",77,0,"2",89.3363121938965
"78",78,0,"1",96.0382148229012
"181",78,0,"1.5",86.7950028147255
"284",78,0,"2",72.3963889002794
"79",79,0,"1",115.287143016749
"182",79,0,"1.5",123.029204719649
"285",79,0,"2",98.0515081022496
"80",80,0,"1",89.2523175229503
"183",80,0,"1.5",89.5722164074334
"286",80,0,"2",91.6888860381974
"81",81,0,"1",119.212832029156
"184",81,0,"1.5",99.6713052778554
"287",81,0,"2",93.0370151369893
"82",82,0,"1",98.6887575153683
"185",82,0,"1.5",98.576115373233
"288",82,0,"2",92.3204377275258
"83",83,0,"1",108.50237209183
"186",83,0,"1.5",90.5818756992577
"289",83,0,"2",80.0455808087825
"84",84,0,"1",97.6360966157726
"187",84,0,"1.5",95.1226995407457
"290",84,0,"2",90.997894861128
"85",85,0,"1",98.8214550962648
"188",85,0,"1.5",101.366309323995
"291",85,0,"2",80.6423363541074
"86",86,0,"1",109.605822083408
"189",86,0,"1.5",96.9695824400331
"292",86,0,"2",81.0470892893966
"87",87,0,"1",95.0958195320775
"190",87,0,"1.5",106.020056015185
"293",87,0,"2",99.5877820043274
"88",88,0,"1",98.2200958535341
"191",88,0,"1.5",88.7231793064557
"294",88,0,"2",74.1958442870351
"89",89,0,"1",94.030529779492
"192",89,0,"1.5",100.832498675158
"295",89,0,"2",89.5723133574746
"90",90,0,"1",95.9444451955502
"193",90,0,"1.5",91.090948759237
"296",90,0,"2",72.6115867279543
"91",91,0,"1",104.796401458813
"194",91,0,"1.5",85.7104113766504
"297",91,0,"2",96.4097212338453
"92",92,0,"1",97.794460269959
"195",92,0,"1.5",98.9317782731627
"298",92,0,"2",88.8024976924518
"93",93,0,"1",113.703895016851
"196",93,0,"1.5",95.2099387162473
"299",93,0,"2",74.1727420929988
"94",94,0,"1",111.786800068671
"197",94,0,"1.5",100.194713239586
"300",94,0,"2",91.7776344944656
"95",95,0,"1",115.637804294982
"198",95,0,"1.5",111.711343591646
"301",95,0,"2",92.5660055964772
"96",96,0,"1",113.994542646539
"199",96,0,"1.5",109.34015969545
"302",96,0,"2",97.0134129762845
"97",97,0,"1",129.271713277176
"200",97,0,"1.5",122.238830054931
"303",97,0,"2",96.3380375357116
"98",98,0,"1",99.9243620110333
"201",98,0,"1.5",77.4801943787111
"304",98,0,"2",70.8433216596466
"99",99,0,"1",101.597449644773
"202",99,0,"1.5",93.7821884854979
"305",99,0,"2",72.9424251107646
"100",100,0,"1",119.400507539335
"203",100,0,"1.5",97.7531729978384
"306",100,0,"2",84.704971360261
"101",101,0,"1",109.845391155881
"204",101,0,"1.5",122.964552712252
"307",101,0,"2",91.4999783793602
"102",102,0,"1",93.9895400367723
"205",102,0,"1.5",72.5840540301286
"308",102,0,"2",82.1980588404111
"103",103,0,"1",103.160780040278
"206",103,0,"1.5",86.9430605604409
"309",103,0,"2",86.7763940036842
